BoxTrick	#Cdcr*#Cch	On your way back home you see a box in the middle of your lane. Do you want to avoid it?	Run over it	addMoney_-80~passTime~addMorale_0_-10~addHealth_0_-5~addMessage_Turns out the box was a hiding a rock. Your car crashes and a gang shows up and mugs you. Your car is towed a couple of hours later._18	Avoid it	addMessage_You avoid the box. Though you came close to crashing a car in the process._28
EggTrick	#Cdcr*#Cch	Suddenly your windshield is covered in egg yolk. You can barely see the road.	Try to make it Home	addMessage_You make it home and clean the windshield after you park your car._28	Turn on the Wipers	addMoney_-15~passTime~addMorale_0_-80~addHealth_0_-5~addMessage_You try to clean the windshield with the wipers, but it only makes things worse. You crash with a tree. A gang pulls out shows up and robs you. You are towed hours later_18
ShadyGuy	#Cdcr*#Ccr	You are walking to the car. A shady-looking guy with has been walking behind you for a while.	Cross the street to avoid him	addMessage_You cross to the other side randomly and avoid the shady guy._28	Ignore him	addMessage_You get to the car. The guy doesn't even aknowledge your precense as he keeps walking._28
ShadyGuy2	#Cdcr*#Ccr	You are walking to the car. A shady-looking guy has been walking behind you for a while.	Ignore him	addMessage_The individual stops close to you and points a gun to your back. You lose all your cash._12~addMoney_-50~addMorale_0_-10	Cross the street to avoid him	addMessage_You cross to the other side randomly and avoid the shady guy._28
WatchTrick	#Cdcr*#Ccr	A lady stops you on the street and asks you for the time. You only have your phone for that.	Say you don't have it	addMessage_The woman apologizes and leaves._28	Pull out your phone to look at it	addMessage_The lady takes a good look at your phone and pulls a knife on you.\n"Give it to me and nothing will come of this"\nYou do what she asks_13~addMoney_-80~addMorale_0_-20
StrayDog	#Cf*10	A stray dog comes close to you. It looks surprisingly clean. You want to pet it?	Yes	addMessage_The dog bites you and runs away._8~addRabies_0	No	addMessage_You ignore the dog and it eventually walks away._28
StrayDog2	#Cf*10	A stray dog comes close to you. It looks surprisingly clean. Will you pet it?	Yes	addMessage_You pet the little guy, he enjoys it and so do you._28~addMorale_0_10	No	addMessage_You ignore the dog and it eventually walks away._28
Grades1M 	#F3*#F3mD?*(100-#F3m)	You receive a call from the school telling you the grades of your son have dropped and he doesn't pay attention in class anymore. 	Scold him	addMessage_You confront your son and scold him for his poor performance at school. You have a heated discussion and he locks himself up in his room._0~addMorale_1_-15	Ignore it for now.	addMessage_You decide to let it slide for now. You will talk to him about it another day._0
Grades2M 	#F3*(100-#F3m)-((100-#F3m)*(#F3mD?))	You receive a call from the school telling you the grades of your son have dropped. 	Scold him	addMessage_You confront your son and scold him. Relunctantly he understand._0~addMorale_1_7	Ignore it for now.	addMessage_You decide to let it slide for now. You will talk to him about it another day._0
Grades1F 	#F4*#F4mD?*(100-#F4m)	You receive a call from the school telling you the grades of your daughter have dropped and she doesn't pay attention in class anymore. 	Scold her	addMessage_You confront your daughter and scold her for her poor performance at school. You have a heated discussion and she locks herself in her room._0~addMorale_1_-15	Ignore it for now.	addMessage_You decide to let it slide for now. You will talk to her about it another day._0
Grades2F 	#F4*(100-#F4m)-((100-#F4m)*(#F4mD?))	You receive a call from the school telling you the grades of your daughter have dropped. 	Scold her	addMessage_You confront your daughter and scold him. Relunctantly she understand._0~addMorale_1_7	Ignore it for now.	addMessage_You decide to let it slide for now. You will talk to her about it another day._0
DrugDealer1	#Cdcr*#Cch*5	On the way back home, a guy openly stops you and offers you a considerable ammount of money if you take a package to a location in your way.	Comply	addMessage_You drop the package in the specified place as discreetly as you can and keep on your way._0~addMoney_50	Refuse	addMessage_You politely refuse the man's offer. He tries to insist but you move away from him and he moves to someone else._0
DrugDealer2	(10-#Cdcr)*10	On the way back home, a guy discreetly stops you and offers you a considerable ammount of money if you take a package to a location in your way.	Comply	addMessage_You drop the package in the specified place._0~addMessage_Out of nowhere, a police points his gun and you and starts screaming. Before you know it, you are in custody._0~Kill_0_There is no chance you will ever see your family again._0	Refuse	addMessage_You politely refuse the man's offer. He tries to insist but you move away from him and he moves to someone else._0
DrugConsumption	#Cdcr*4-(#Cdcr*4*#F1mD?*#F1mU?)	While walking next to an alleyway, a man offers you some LCD for 15. It may not be good to your health, but it may help your morale.	Accept it	addMessage_You take the LCD, lock yourself up in a public bathroom and trip on acid until you vomit it all back into the filthy toilet._0~addMoney_-15~addMorale_20~addHealth_-15	Say no to drugs	addMessage_You politely say no to the offer and move along._0
DrugAddiction	100*#F1mU?	While walking next to an alleyway, a man offers you some heroin. It may not be good to your health, but it may improve your awful morale.	Accept it	addMessage_You take the heroin, lock yourself up in a public bathroom and lay down numbed in the floor with the needle in your arm._0~addMoney_-20~passTime~addMessage_The next day you buy more heroin._0~addMoney_-20~passTime~addMessage_And the next one._0~addMoney_-20~passTime~addMessage_You spiral down into chaos as you are no longer responsible for your actions._0~addMoney_-1000000~Kill_0_The police finds your body a couple of weeks later, the report says death from overdose._14	Say no to drugs	addMessage_You politely say no to the offer and move along._0
DrugAddiction	50*#F1mD?	While walking next to an alleyway, a man offers you some cocain. It may not be good to your health, but it may improve your low morale.	Accept it	addMessage_You take the cocaine, lock yourself up in a public bathroom and snort it all from the toilet seat._0~addMoney_-20~passTime~addMessage_The next day you buy more._0~addMoney_-20~passTime~addMessage_And the next one._0~passTime~addMessage_And the next one..._0~addMoney_-20~passTime~addMessage_Your life spirals down into chaos as lose control of your actions._0~addMoney_-1000000~addMessage_You eventually run out of money and find yourself trying to rob a gas station to substain your addiction_0~Kill_0_The cashier pulls out a shotgun. You see a blast right before your brain is scattered on the walls._14	Say no to drugs	addMessage_You politely say no to the offer and move along._0
MarketLine	#Cin*10*#M*#T0?	You receive a message from a family member telling you that a local market has received a whole truck of food this morning. It will not last long, so you will have to get in line for it.	Ignore the text.		Get in line	passTime~addMessage_After almost 6 hours in line, you finally reach the end and use all the cash you have to buy as much food as you are allowed to by the regulators._0~addMoney_-50~addFood_30
